heldout,method,representation,pair_count,auroc,auprc,f1,balanced_accuracy,aug_mean
TS0330E,racdiff,fusion_absolute,3,1.0,1.0,0.6680033416875522,0.7590579710144927,17.666666666666668
TS0330E,racdiff,fusion_shape,3,0.9574275362318841,0.9509637834860358,0.822999222999223,0.8496376811594203,17.666666666666668
TS0330E,racdiff,pressure_absolute,3,0.37952898550724634,0.42183311920222105,0.3508021390374331,0.4583333333333333,17.666666666666668
TS0330E,racdiff,pressure_shape,3,0.4945652173913044,0.601241708983289,0.49023199023199027,0.48007246376811596,17.666666666666668
TS0330E,racdiff,temperature,3,1.0,1.0,0.884635832004253,0.9057971014492754,17.666666666666668
TS0330E,real_only,fusion_absolute,3,0.9990942028985508,0.9987745098039217,0.5803921568627451,0.7608695652173912,0.0
TS0330E,real_only,fusion_shape,3,0.9592391304347826,0.9533142108364632,0.818958818958819,0.8464673913043478,0.0
TS0330E,real_only,pressure_absolute,3,0.875,0.8089216950882383,0.5020302694721299,0.6811594202898551,0.0
TS0330E,real_only,pressure_shape,3,0.45742753623188404,0.5495872914337977,0.47443656422379826,0.48913043478260865,0.0
TS0330E,real_only,temperature,3,1.0,1.0,0.8922223659065764,0.9130434782608695,0.0
TS0330F,classical,fusion_absolute,3,0.953168044077135,0.9366740715424925,0.28205128205128205,0.6363636363636364,32.333333333333336
TS0330F,classical,fusion_shape,3,0.9022038567493113,0.8899235577465242,0.800552104899931,0.8484848484848485,32.333333333333336
TS0330F,classical,pressure_absolute,3,0.6804407713498623,0.710031838632108,0.43960511033681765,0.5,32.333333333333336
TS0330F,classical,pressure_shape,3,0.48898071625344347,0.4877652228564145,0.3703703703703704,0.5378787878787878,32.333333333333336
TS0330F,classical,temperature,3,1.0,1.0,0.9441269841269841,0.9621212121212123,32.333333333333336
TS0330F,racdiff,fusion_absolute,3,0.9573002754820936,0.9412490287490288,0.4249084249084249,0.6818181818181818,32.333333333333336
TS0330F,racdiff,fusion_shape,3,0.9710743801652892,0.9607107875289693,0.8661782661782662,0.9015151515151515,32.333333333333336
TS0330F,racdiff,pressure_absolute,3,0.6239669421487603,0.6663449417536084,0.43960511033681765,0.5,32.333333333333336
TS0330F,racdiff,pressure_shape,3,0.6212121212121212,0.5776830277991079,0.4882915173237754,0.5909090909090908,32.333333333333336
TS0330F,racdiff,temperature,3,1.0,1.0,0.9441269841269841,0.9621212121212123,32.333333333333336
TS0330F,real_only,fusion_absolute,3,0.9586776859504132,0.9405912643141745,0.5459401709401709,0.7272727272727272,0.0
TS0330F,real_only,fusion_shape,3,0.9421487603305785,0.9206371910917365,0.8557319223985891,0.8939393939393939,0.0
TS0330F,real_only,pressure_absolute,3,0.768595041322314,0.7882620607963093,0.46219512195121953,0.4621212121212121,0.0
TS0330F,real_only,pressure_shape,3,0.6969696969696969,0.6295194903448492,0.40740740740740744,0.6287878787878788,0.0
TS0330F,real_only,temperature,3,1.0,1.0,0.9282539682539683,0.9469696969696971,0.0
TS0330G,classical,fusion_absolute,3,0.8531746031746031,0.833317623236978,0.28703703703703703,0.5496031746031745,30.0
TS0330G,classical,fusion_shape,3,0.8849206349206349,0.7939528847976437,0.5454545454545454,0.736111111111111,30.0
TS0330G,classical,pressure_absolute,3,0.32539682539682535,0.18575349984628267,0.24561403508771928,0.5,30.0
TS0330G,classical,pressure_shape,3,0.5932539682539683,0.29628447230383653,0.3128034913024771,0.5317460317460317,30.0
TS0330G,classical,temperature,3,0.9603174603174601,0.9170274170274167,0.8047619047619047,0.8968253968253969,30.0
TS0330G,racdiff,fusion_absolute,3,1.0,0.9999999999999997,0.5305338783599653,0.7351190476190476,30.0
TS0330G,racdiff,fusion_shape,3,0.9742063492063492,0.9280732495018209,0.6714300192561063,0.8273809523809524,30.0
TS0330G,racdiff,pressure_absolute,3,0.47222222222222215,0.2316954170252056,0.24561403508771928,0.5,30.0
TS0330G,racdiff,pressure_shape,3,0.628968253968254,0.31918778571688017,0.42026029526029524,0.5982142857142857,30.0
TS0330G,racdiff,temperature,3,0.9880952380952381,0.9698412698412696,0.7925925925925926,0.9166666666666669,30.0
TS0330G,real_only,fusion_absolute,3,0.746031746031746,0.781468746307456,0.2186571598336304,0.4702380952380952,0.0
TS0330G,real_only,fusion_shape,3,0.7579365079365079,0.7335329651573891,0.4992481203007519,0.6984126984126985,0.0
TS0330G,real_only,pressure_absolute,3,0.9583333333333334,0.9215352807789782,0.39734299516908217,0.701388888888889,0.0
TS0330G,real_only,pressure_shape,3,0.5456349206349206,0.2936625916184307,0.35919540229885055,0.5625,0.0
TS0330G,real_only,temperature,3,0.7777777777777778,0.7974690951649478,0.6796906796906796,0.7946428571428572,0.0
TS0330H,classical,fusion_absolute,3,0.9814814814814815,0.9811028114949684,0.5046296296296297,0.6333333333333333,56.666666666666664
TS0330H,classical,fusion_shape,3,0.9654320987654321,0.9679406897027034,0.6413943355119825,0.7666666666666666,56.666666666666664
TS0330H,classical,pressure_absolute,3,0.45061728395061723,0.4480611181937772,0.20833333333333334,0.5,56.666666666666664
TS0330H,classical,pressure_shape,3,0.528395061728395,0.5730319955371075,0.4205128205128205,0.5833333333333334,56.666666666666664
TS0330H,classical,temperature,3,1.0,1.0,0.782051282051282,0.8222222222222223,56.666666666666664
TS0330H,racdiff,fusion_absolute,3,0.9950617283950617,0.9948148148148149,0.603641456582633,0.774074074074074,56.666666666666664
TS0330H,racdiff,fusion_shape,3,0.9604938271604938,0.9469987679636803,0.5641025641025641,0.7444444444444445,56.666666666666664
TS0330H,racdiff,pressure_absolute,3,0.5160493827160494,0.5111445881527085,0.625,0.5,56.666666666666664
TS0330H,racdiff,pressure_shape,3,0.5864197530864198,0.598414873958382,0.4641192917054986,0.6166666666666667,56.666666666666664
TS0330H,racdiff,temperature,3,1.0,1.0,0.782051282051282,0.8222222222222223,56.666666666666664
TS0330H,real_only,fusion_absolute,3,0.9765432098765432,0.9771855564838021,0.5301724137931035,0.6555555555555556,0.0
TS0330H,real_only,fusion_shape,3,0.9518518518518518,0.9554729934269576,0.8450142450142449,0.8666666666666667,0.0
TS0330H,real_only,pressure_absolute,3,0.9679012345679013,0.9669826343820151,0.48611111111111116,0.611111111111111,0.0
TS0330H,real_only,pressure_shape,3,0.7098765432098766,0.6703494087810418,0.504394861392833,0.6833333333333332,0.0
TS0330H,real_only,temperature,3,1.0,1.0,0.782051282051282,0.8222222222222223,0.0
