window_s,temp_cap_c,max_tau_s,experiment,n_windows,tau_min_s,tau_q25_s,tau_median_s,tau_q75_s,tau_max_s
120,150,600,TS0330G,31,231.33000000000004,306.33000000000004,381.33000000000004,456.33000000000004,531.33
120,150,600,TS0330H,33,159.86,239.86,319.86,399.86,479.86
120,150,900,TS0330A,41,199.89,299.89,399.89,499.89,599.89
120,150,900,TS0330B,41,223.36,323.36,423.36,523.36,623.36
120,150,900,TS0330C,33,273.94000000000005,353.94000000000005,433.94000000000005,513.94,593.94
120,150,900,TS0330D,32,233.01,310.51,388.01,465.51,543.01
120,150,900,TS0330E,39,146.79999999999995,241.79999999999995,336.79999999999995,431.79999999999995,526.8
120,150,900,TS0330F,33,195.35000000000002,275.35,355.35,435.35,515.35
120,150,900,TS0330G,31,231.33000000000004,306.33000000000004,381.33000000000004,456.33000000000004,531.33
120,150,900,TS0330H,33,159.86,239.86,319.86,399.86,479.86
120,150,1200,TS0330A,41,199.89,299.89,399.89,499.89,599.89
120,150,1200,TS0330B,41,223.36,323.36,423.36,523.36,623.36
120,150,1200,TS0330C,33,273.94000000000005,353.94000000000005,433.94000000000005,513.94,593.94
120,150,1200,TS0330D,32,233.01,310.51,388.01,465.51,543.01
120,150,1200,TS0330E,39,146.79999999999995,241.79999999999995,336.79999999999995,431.79999999999995,526.8
120,150,1200,TS0330F,33,195.35000000000002,275.35,355.35,435.35,515.35
120,150,1200,TS0330G,31,231.33000000000004,306.33000000000004,381.33000000000004,456.33000000000004,531.33
120,150,1200,TS0330H,33,159.86,239.86,319.86,399.86,479.86
256,100,300,TS0330A,0,,,,,
256,100,300,TS0330B,0,,,,,
256,100,300,TS0330C,0,,,,,
256,100,300,TS0330D,0,,,,,
256,100,300,TS0330E,0,,,,,
256,100,300,TS0330F,0,,,,,
256,100,300,TS0330G,0,,,,,
256,100,300,TS0330H,0,,,,,
256,100,600,TS0330A,0,,,,,
256,100,600,TS0330B,0,,,,,
256,100,600,TS0330C,0,,,,,
256,100,600,TS0330D,0,,,,,
256,100,600,TS0330E,0,,,,,
256,100,600,TS0330F,0,,,,,
256,100,600,TS0330G,0,,,,,
256,100,600,TS0330H,0,,,,,
256,100,900,TS0330A,0,,,,,
256,100,900,TS0330B,0,,,,,
256,100,900,TS0330C,0,,,,,
256,100,900,TS0330D,0,,,,,
256,100,900,TS0330E,0,,,,,
256,100,900,TS0330F,0,,,,,
256,100,900,TS0330G,0,,,,,
256,100,900,TS0330H,0,,,,,
256,100,1200,TS0330A,0,,,,,
256,100,1200,TS0330B,0,,,,,
256,100,1200,TS0330C,0,,,,,
256,100,1200,TS0330D,0,,,,,
256,100,1200,TS0330E,0,,,,,
