k_real_train_experiments,representation,heldout,subset_count,auroc_mean_over_subsets,auroc_worst_subset,auprc_mean_over_subsets,auprc_worst_subset,f1_mean_over_subsets,balanced_acc_mean_over_subsets
7,pressure_shape,TS0330D,1,0.9714285714285715,0.9714285714285715,0.8954648526077098,0.8954648526077098,0.56,0.78
7,pressure_shape,TS0330E,1,0.6521739130434784,0.6521739130434784,0.6577068949280047,0.6577068949280047,0.5,0.5760869565217391
7,pressure_shape,TS0330F,1,0.9793388429752067,0.9793388429752067,0.9536042240587695,0.9536042240587695,0.6666666666666666,0.75
7,pressure_shape,TS0330G,1,0.45833333333333337,0.45833333333333337,0.23104816330622782,0.23104816330622782,0.38461538461538464,0.5654761904761905
7,pressure_shape,TS0330H,1,0.8518518518518519,0.8518518518518519,0.8435457914405282,0.8435457914405282,0.6086956521739131,0.7055555555555555
7,temperature,TS0330A,1,1.0,1.0,1.0,1.0,0.8461538461538461,0.9333333333333333
7,temperature,TS0330B,1,1.0,1.0,1.0,1.0,0.6153846153846154,0.8484848484848485
7,temperature,TS0330C,1,1.0,1.0,1.0,1.0,0.35294117647058826,0.8166666666666667
7,temperature,TS0330D,1,1.0,1.0,1.0,1.0,0.7,0.88
7,temperature,TS0330E,1,1.0,1.0,1.0,1.0,0.9411764705882353,0.9565217391304348
7,temperature,TS0330F,1,1.0,1.0,1.0,1.0,0.9565217391304348,0.9772727272727273
7,temperature,TS0330G,1,0.8571428571428572,0.8571428571428572,0.8145363408521302,0.8145363408521302,0.6666666666666666,0.7946428571428572
7,temperature,TS0330H,1,1.0,1.0,1.0,1.0,0.75,0.8
