heldout,k_real_train_experiments,combo_id,train_experiments,representation,n_train_windows,n_test_windows,train_positive,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,4,10,TS0330B+TS0330D+TS0330E+TS0330F,temperature,145,41,42,11,1.0,1.0,0.88,0.95
TS0330A,4,10,TS0330B+TS0330D+TS0330E+TS0330F,pressure_absolute,145,41,42,11,0.9333333333333333,0.8536532911532911,0.7096774193548387,0.85
TS0330A,4,10,TS0330B+TS0330D+TS0330E+TS0330F,pressure_shape,145,41,42,11,0.7757575757575759,0.4384002361275089,0.5641025641025641,0.7166666666666667
TS0330A,4,10,TS0330B+TS0330D+TS0330E+TS0330F,fusion_absolute,145,41,42,11,1.0,1.0,0.9,0.9090909090909092
TS0330A,4,10,TS0330B+TS0330D+TS0330E+TS0330F,fusion_shape,145,41,42,11,0.9090909090909091,0.6389678503314866,0.7857142857142857,0.9
TS0330A,4,11,TS0330B+TS0330D+TS0330E+TS0330G,temperature,143,41,38,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,4,11,TS0330B+TS0330D+TS0330E+TS0330G,pressure_absolute,143,41,38,11,0.9424242424242425,0.870436507936508,0.6875,0.8333333333333333
TS0330A,4,11,TS0330B+TS0330D+TS0330E+TS0330G,pressure_shape,143,41,38,11,0.8181818181818181,0.5054540376180693,0.5641025641025641,0.7166666666666667
TS0330A,4,11,TS0330B+TS0330D+TS0330E+TS0330G,fusion_absolute,143,41,38,11,0.9878787878787879,0.9649678604224059,0.8,0.8469696969696969
TS0330A,4,11,TS0330B+TS0330D+TS0330E+TS0330G,fusion_shape,143,41,38,11,0.9636363636363636,0.8974681883772794,0.7586206896551724,0.8833333333333333
TS0330A,4,12,TS0330B+TS0330D+TS0330E+TS0330H,temperature,145,41,46,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,12,TS0330B+TS0330D+TS0330E+TS0330H,pressure_absolute,145,41,46,11,0.9484848484848485,0.8906385281385282,0.0,0.5
TS0330A,4,12,TS0330B+TS0330D+TS0330E+TS0330H,pressure_shape,145,41,46,11,0.7939393939393938,0.4596390119715479,0.5789473684210527,0.7333333333333334
TS0330A,4,12,TS0330B+TS0330D+TS0330E+TS0330H,fusion_absolute,145,41,46,11,1.0,1.0,0.8421052631578947,0.8636363636363636
TS0330A,4,12,TS0330B+TS0330D+TS0330E+TS0330H,fusion_shape,145,41,46,11,0.9303030303030303,0.7900501014137378,0.7857142857142857,0.9
TS0330A,4,13,TS0330B+TS0330D+TS0330F+TS0330G,temperature,137,41,33,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,4,13,TS0330B+TS0330D+TS0330F+TS0330G,pressure_absolute,137,41,33,11,0.8787878787878789,0.6031874987757341,0.6875,0.8333333333333333
TS0330A,4,13,TS0330B+TS0330D+TS0330F+TS0330G,pressure_shape,137,41,33,11,0.5515151515151515,0.3032058553019752,0.34285714285714286,0.4727272727272727
TS0330A,4,13,TS0330B+TS0330D+TS0330F+TS0330G,fusion_absolute,137,41,33,11,0.990909090909091,0.975068870523416,0.7777777777777778,0.8181818181818181
TS0330A,4,13,TS0330B+TS0330D+TS0330F+TS0330G,fusion_shape,137,41,33,11,0.8424242424242424,0.5319047040303724,0.7096774193548387,0.85
TS0330A,4,14,TS0330B+TS0330D+TS0330F+TS0330H,temperature,139,41,41,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,14,TS0330B+TS0330D+TS0330F+TS0330H,pressure_absolute,139,41,41,11,0.8,0.4623707034592202,0.0,0.48333333333333334
TS0330A,4,14,TS0330B+TS0330D+TS0330F+TS0330H,pressure_shape,139,41,41,11,0.6272727272727274,0.3440734187442651,0.3870967741935484,0.5393939393939393
TS0330A,4,14,TS0330B+TS0330D+TS0330F+TS0330H,fusion_absolute,139,41,41,11,1.0,1.0,0.7777777777777778,0.8181818181818181
TS0330A,4,14,TS0330B+TS0330D+TS0330F+TS0330H,fusion_shape,139,41,41,11,0.8484848484848485,0.591629359944868,0.7586206896551724,0.8833333333333333
TS0330A,4,15,TS0330B+TS0330D+TS0330G+TS0330H,temperature,137,41,37,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,15,TS0330B+TS0330D+TS0330G+TS0330H,pressure_absolute,137,41,37,11,0.5575757575757576,0.2865016253877779,0.0,0.5
TS0330A,4,15,TS0330B+TS0330D+TS0330G+TS0330H,pressure_shape,137,41,37,11,0.5909090909090909,0.3674013472441464,0.4117647058823529,0.5515151515151515
TS0330A,4,15,TS0330B+TS0330D+TS0330G+TS0330H,fusion_absolute,137,41,37,11,0.9818181818181818,0.9516705516705517,0.16666666666666666,0.5454545454545454
TS0330A,4,15,TS0330B+TS0330D+TS0330G+TS0330H,fusion_shape,137,41,37,11,0.8454545454545453,0.6376165426967567,0.7586206896551724,0.8833333333333333
TS0330A,4,16,TS0330B+TS0330E+TS0330F+TS0330G,temperature,144,41,42,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,4,16,TS0330B+TS0330E+TS0330F+TS0330G,pressure_absolute,144,41,42,11,0.9606060606060606,0.9147842056932968,0.6875,0.8333333333333333
TS0330A,4,16,TS0330B+TS0330E+TS0330F+TS0330G,pressure_shape,144,41,42,11,0.7696969696969698,0.4515480525978696,0.5641025641025641,0.7166666666666667
TS0330A,4,16,TS0330B+TS0330E+TS0330F+TS0330G,fusion_absolute,144,41,42,11,1.0,1.0,0.7777777777777778,0.8181818181818181
TS0330A,4,16,TS0330B+TS0330E+TS0330F+TS0330G,fusion_shape,144,41,42,11,0.9454545454545454,0.8256233665324575,0.7333333333333333,0.8666666666666667
TS0330A,4,17,TS0330B+TS0330E+TS0330F+TS0330H,temperature,146,41,50,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,4,17,TS0330B+TS0330E+TS0330F+TS0330H,pressure_absolute,146,41,50,11,0.9818181818181818,0.9633264462809917,0.0,0.5
