heldout,model,representation,n_train,n_test,mae_s,rmse_s,medae_s,r2,bias_s
TS0330F,huber,temperature,247,33,38.15861551564128,41.03792913904909,42.63885706144305,0.8142523939682043,38.15861551564128
TS0330F,huber,pressure_absolute,247,33,47.38691357109714,60.604016169341044,40.126893412538095,0.5949066056043658,-44.121186001139044
TS0330F,huber,pressure_shape,247,33,73.91000606134347,92.80532171655143,72.17321603860194,0.05005576409052048,41.72377100616483
TS0330F,huber,fusion_absolute,247,33,23.41257629092255,27.840010538358648,25.07266342400777,0.9145147588114794,20.91912587934214
TS0330F,huber,fusion_shape,247,33,34.14432244074852,40.22723321471757,32.412089218287605,0.8215187177818445,30.677316444848415
TS0330F,rf,temperature,247,33,43.864376235183414,45.17340134223101,45.05961446132949,0.7749298321147486,43.864376235183414
TS0330F,rf,pressure_absolute,247,33,84.23191388405866,100.96322626110091,76.04700227321865,-0.12429114599819013,14.506171624131971
TS0330F,rf,pressure_shape,247,33,80.68832951584754,100.16154593181922,59.768157234722594,-0.10650756802778649,37.66666446182008
TS0330F,rf,fusion_absolute,247,33,24.8154206725948,26.860053993429304,26.537666094894746,0.9204269300886099,20.472435142728514
TS0330F,rf,fusion_shape,247,33,39.059590085310525,42.267835959432105,43.890010043730626,0.8029518430117506,39.059590085310525
TS0330G,huber,temperature,249,31,25.262168778187558,69.4284895048608,8.579999844289318,0.39746060563417906,9.702937383944672
TS0330G,huber,pressure_absolute,249,31,85.40189599904872,102.3372928882335,70.45230600049305,-0.3091151894615112,9.231863913446764
TS0330G,huber,pressure_shape,249,31,80.36693310558773,104.98885933783889,67.23077446275556,-0.3778325731325649,-24.059646072571045
TS0330G,huber,fusion_absolute,249,31,74.59304855970731,80.32600886881399,74.8477794171406,0.19346653740090214,-51.922100122619504
TS0330G,huber,fusion_shape,249,31,61.139531003428836,160.6901113088255,18.0739791620926,-2.2276639840553405,36.31072259088933
TS0330G,rf,temperature,249,31,21.071763517300855,24.350972497184443,22.19714364655465,0.9258787673051708,4.9989472121614416
TS0330G,rf,pressure_absolute,249,31,48.97354676498417,60.53220715560874,39.90759503944696,0.5419814871088088,-37.880520884500775
TS0330G,rf,pressure_shape,249,31,100.72443017316249,111.31320137831963,97.48855191543345,-0.5488286001362925,8.343930688848223
