heldout,k_real_train_experiments,train_experiments,method,representation,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330D,2,TS0330E+TS0330F,racdiff,temperature,72,33,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,2,TS0330E+TS0330F,racdiff,fusion_absolute,72,33,32,7,1.0,1.0,0.7777777777777778,0.92
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,real_only,temperature,136,0,32,7,1.0,1.0,0.6363636363636364,0.8400000000000001
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,real_only,fusion_absolute,136,0,32,7,1.0,1.0,0.7,0.88
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,classical_anchor_matched,temperature,136,1,32,7,1.0,1.0,0.6363636363636364,0.8400000000000001
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,classical_anchor_matched,fusion_absolute,136,1,32,7,0.9942857142857142,0.9821428571428572,0.7,0.88
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,racdiff,temperature,136,1,32,7,1.0,1.0,0.6363636363636364,0.8400000000000001
TS0330D,4,TS0330E+TS0330F+TS0330G+TS0330H,racdiff,fusion_absolute,136,1,32,7,0.9828571428571428,0.9379251700680272,0.7,0.88
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,real_only,temperature,218,0,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,real_only,fusion_absolute,218,0,32,7,0.9942857142857142,0.9821428571428572,0.6086956521739131,0.8200000000000001
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,classical_anchor_matched,temperature,218,0,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,classical_anchor_matched,fusion_absolute,218,0,32,7,0.9942857142857142,0.9821428571428572,0.6086956521739131,0.8200000000000001
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,racdiff,temperature,218,0,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,6,TS0330E+TS0330F+TS0330G+TS0330H+TS0330A+TS0330B,racdiff,fusion_absolute,218,0,32,7,0.9942857142857142,0.9821428571428572,0.6086956521739131,0.8200000000000001
TS0330E,2,TS0330F+TS0330G,real_only,temperature,64,0,39,16,1.0,1.0,0.8648648648648649,0.8913043478260869
TS0330E,2,TS0330F+TS0330G,real_only,fusion_absolute,64,0,39,16,1.0,1.0,0.8,0.8260869565217391
TS0330E,2,TS0330F+TS0330G,classical_anchor_matched,temperature,64,23,39,16,1.0,1.0,0.8888888888888888,0.9130434782608696
TS0330E,2,TS0330F+TS0330G,classical_anchor_matched,fusion_absolute,64,23,39,16,1.0,1.0,0.8205128205128205,0.8478260869565217
TS0330E,2,TS0330F+TS0330G,racdiff,temperature,64,23,39,16,1.0,1.0,0.9142857142857144,0.934782608695652
TS0330E,2,TS0330F+TS0330G,racdiff,fusion_absolute,64,23,39,16,1.0,1.0,0.8,0.8260869565217391
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,real_only,temperature,138,0,39,16,1.0,1.0,0.8648648648648649,0.8913043478260869
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,real_only,fusion_absolute,138,0,39,16,1.0,1.0,0.9411764705882352,0.9565217391304348
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,classical_anchor_matched,temperature,138,82,39,16,1.0,1.0,0.8648648648648649,0.8913043478260869
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,classical_anchor_matched,fusion_absolute,138,82,39,16,1.0,1.0,0.9142857142857144,0.934782608695652
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,racdiff,temperature,138,82,39,16,1.0,1.0,0.8648648648648649,0.8913043478260869
TS0330E,4,TS0330F+TS0330G+TS0330H+TS0330A,racdiff,fusion_absolute,138,82,39,16,1.0,1.0,0.8888888888888888,0.9130434782608696
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,real_only,temperature,212,0,39,16,1.0,1.0,0.9411764705882352,0.9565217391304348
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,real_only,fusion_absolute,212,0,39,16,1.0,1.0,1.0,1.0
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,classical_anchor_matched,temperature,212,8,39,16,1.0,1.0,0.9142857142857144,0.934782608695652
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,classical_anchor_matched,fusion_absolute,212,8,39,16,1.0,1.0,0.9696969696969696,0.9782608695652174
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,racdiff,temperature,212,8,39,16,1.0,1.0,0.9142857142857144,0.934782608695652
TS0330E,6,TS0330F+TS0330G+TS0330H+TS0330A+TS0330B+TS0330C,racdiff,fusion_absolute,212,8,39,16,1.0,1.0,0.9696969696969696,0.9782608695652174
TS0330F,2,TS0330G+TS0330H,real_only,temperature,64,0,33,11,1.0,1.0,0.88,0.931818181818182
TS0330F,2,TS0330G+TS0330H,real_only,fusion_absolute,64,0,33,11,0.8801652892561984,0.8293495505182812,0.1666666666666666,0.5454545454545454
TS0330F,2,TS0330G+TS0330H,classical_anchor_matched,temperature,64,64,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,2,TS0330G+TS0330H,classical_anchor_matched,fusion_absolute,64,64,33,11,0.8966942148760331,0.8491830065359477,0.1666666666666666,0.5454545454545454
TS0330F,2,TS0330G+TS0330H,racdiff,temperature,64,64,33,11,1.0,1.0,0.88,0.931818181818182
TS0330F,2,TS0330G+TS0330H,racdiff,fusion_absolute,64,64,33,11,0.8925619834710744,0.8403446226975638,0.3076923076923077,0.5909090909090909
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,real_only,temperature,146,0,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,real_only,fusion_absolute,146,0,33,11,1.0,1.0,0.88,0.931818181818182
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,classical_anchor_matched,temperature,146,8,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,classical_anchor_matched,fusion_absolute,146,8,33,11,1.0,1.0,0.88,0.931818181818182
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,racdiff,temperature,146,8,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,4,TS0330G+TS0330H+TS0330A+TS0330B,racdiff,fusion_absolute,146,8,33,11,1.0,1.0,0.88,0.931818181818182
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,real_only,temperature,211,0,33,11,1.0,1.0,0.9565217391304348,0.9772727272727272
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,real_only,fusion_absolute,211,0,33,11,1.0,1.0,0.9565217391304348,0.9772727272727272
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,classical_anchor_matched,temperature,211,17,33,11,1.0,1.0,0.9565217391304348,0.9772727272727272
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,classical_anchor_matched,fusion_absolute,211,17,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,racdiff,temperature,211,17,33,11,1.0,1.0,0.9565217391304348,0.9772727272727272
TS0330F,6,TS0330G+TS0330H+TS0330A+TS0330B+TS0330C+TS0330D,racdiff,fusion_absolute,211,17,33,11,1.0,1.0,0.9166666666666666,0.9545454545454546
