source_pair,external,method,representation,n_source_real_windows,n_aug,n_external_windows,external_positive,auroc,auprc,f1,balanced_accuracy
TS0330F+TS0330G,NMC811,real_only,pressure_absolute,64,0,99,5,0.9308510638297872,0.2777777777777778,0.3333333333333333,0.8936170212765957
TS0330F+TS0330G,NMC111,real_only,pressure_shape,64,0,989,5,0.4664634146341463,0.0055515095525723,0.0147058823529411,0.6595528455284553
TS0330F+TS0330G,NMC811,real_only,pressure_shape,64,0,99,5,0.2127659574468085,0.0384030341689679,0.0,0.1329787234042553
TS0330F+TS0330G,NMC111,real_only,fusion_absolute,64,0,989,5,0.0939024390243902,0.0033372673211607,0.0103734439834024,0.5152439024390244
TS0330F+TS0330G,NMC811,real_only,fusion_absolute,64,0,99,5,0.3127659574468085,0.0376191141168099,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,real_only,fusion_shape,64,0,989,5,0.3050813008130081,0.004233687240732,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,real_only,fusion_shape,64,0,99,5,0.1297872340425531,0.0348550599569671,0.1020408163265306,0.5319148936170213
TS0330F+TS0330G,NMC111,classical_anchor_matched,temperature,64,26,989,5,0.9981707317073172,0.8051948051948052,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,classical_anchor_matched,temperature,64,26,99,5,0.6042553191489362,0.0702098986285032,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,classical_anchor_matched,pressure_absolute,64,26,989,5,0.5096544715447154,0.0051546391752577,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,classical_anchor_matched,pressure_absolute,64,26,99,5,0.5053191489361701,0.0510204081632653,0.0970873786407767,0.5053191489361702
TS0330F+TS0330G,NMC111,classical_anchor_matched,pressure_shape,64,26,989,5,0.2510162601626016,0.0038474884214294,0.0089086859688195,0.4482723577235772
TS0330F+TS0330G,NMC811,classical_anchor_matched,pressure_shape,64,26,99,5,0.3531914893617021,0.0446172903523175,0.0689655172413793,0.3797872340425532
TS0330F+TS0330G,NMC111,classical_anchor_matched,fusion_absolute,64,26,989,5,0.4582317073170731,0.0047087153839029,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,classical_anchor_matched,fusion_absolute,64,26,99,5,0.5053191489361701,0.0510204081632653,0.0970873786407767,0.5053191489361702
TS0330F+TS0330G,NMC111,classical_anchor_matched,fusion_shape,64,26,989,5,0.2276422764227642,0.0037803842710801,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,classical_anchor_matched,fusion_shape,64,26,99,5,0.0446808510638297,0.0316731678574913,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,racdiff,temperature,64,26,989,5,0.9981707317073172,0.6977777777777778,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,racdiff,temperature,64,26,99,5,0.9723404255319148,0.6111111111111112,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,racdiff,pressure_absolute,64,26,989,5,0.5005081300813008,0.0050607287449392,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,racdiff,pressure_absolute,64,26,99,5,0.5053191489361701,0.0510204081632653,0.0970873786407767,0.5053191489361702
TS0330F+TS0330G,NMC111,racdiff,pressure_shape,64,26,989,5,0.4495934959349593,0.0052116048314793,0.0,0.3434959349593496
TS0330F+TS0330G,NMC811,racdiff,pressure_shape,64,26,99,5,0.6319148936170212,0.0830107584771236,0.1219512195121951,0.6170212765957447
TS0330F+TS0330G,NMC111,racdiff,fusion_absolute,64,26,989,5,0.0916666666666666,0.003499069377323,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,racdiff,fusion_absolute,64,26,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330F+TS0330G,NMC111,racdiff,fusion_shape,64,26,989,5,0.6018292682926829,0.0072092478945253,0.0100603621730382,0.5
TS0330F+TS0330G,NMC811,racdiff,fusion_shape,64,26,99,5,0.2595744680851063,0.0405619922745026,0.0970873786407767,0.5053191489361702
TS0330G+TS0330H,NMC111,real_only,temperature,64,0,989,5,1.0,1.0,0.0100603621730382,0.5
TS0330G+TS0330H,NMC811,real_only,temperature,64,0,99,5,1.0,1.0,0.0961538461538461,0.5
TS0330G+TS0330H,NMC111,real_only,pressure_absolute,64,0,989,5,0.0101626016260162,0.0050556117290192,0.0,0.5
TS0330G+TS0330H,NMC811,real_only,pressure_absolute,64,0,99,5,0.2606382978723404,0.0505050505050505,0.0,0.5
TS0330G+TS0330H,NMC111,real_only,pressure_shape,64,0,989,5,0.9782520325203252,0.2951648841354723,0.0,0.5
TS0330G+TS0330H,NMC811,real_only,pressure_shape,64,0,99,5,0.9595744680851064,0.4188888888888888,0.2127659574468085,0.8031914893617021
TS0330G+TS0330H,NMC111,real_only,fusion_absolute,64,0,989,5,0.0002032520325203,0.0030376732262613,0.0,0.5
TS0330G+TS0330H,NMC811,real_only,fusion_absolute,64,0,99,5,0.1382978723404255,0.0505050505050505,0.0,0.4946808510638298
