experiment,field,unit,value,source_row,source_col
TS0330H,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),9.77971858847992,10,43
TS0330H,Max_Rate_90per_Pressure_Corrected_SATP,,7.7663226313004,10,44
TS0330H,post_thermal_runaway_amount_of_gas,mol,7.93768549022002,10,79
average,experiment designation,,average,11,0
average,cell_type_id,,,11,5
average,soc,%,,11,14
average,voltage_before_TR,V,,11,20
average,CellVoltageDropFiftyPer_CellCaseT,°C,128.0151653289796,11,21
average,FiveSecBefNinetyPerSecVentStart CellCaseT,,,11,22
average,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,,11,23
average,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,11,24
average,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,,11,25
average,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,11,26
average,NinetyPerSecVentStart_CellCaseT,,179.61330740792414,11,27
average,max_cell_temperature,,539.4010353088381,11,28
average,max_cell_temperature_sensor_name,,,11,29
average,max vent gas temperature,,1275.524168874362,11,30
average,max gas temperature,,,11,31
average,max over pressure,bar,,11,32
average,first venting n,mol,,11,33
average,second venting n,,,11,34
average,temperature of produced not condensated gas,°C,,11,37
average,max rate 50per pressure corrected,mol/s,,11,39
average,max rate 90per pressure corrected,,,11,40
average,min_time_50per_pressure,s,,11,41
average,min_time_90per_pressure,,,11,42
average,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),16.166718616388884,11,43
average,Max_Rate_90per_Pressure_Corrected_SATP,,,11,44
average,post_thermal_runaway_amount_of_gas,mol,,11,79
std,experiment designation,,std,12,0
std,cell_type_id,,,12,5
std,soc,%,,12,14
std,voltage_before_TR,V,,12,20
std,CellVoltageDropFiftyPer_CellCaseT,°C,3.7176898686136255,12,21
std,FiveSecBefNinetyPerSecVentStart CellCaseT,,,12,22
std,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,,12,23
std,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,12,24
std,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,,12,25
std,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,12,26
std,NinetyPerSecVentStart_CellCaseT,,21.088361305455958,12,27
std,max_cell_temperature,,160.17243788303898,12,28
std,max_cell_temperature_sensor_name,,,12,29
std,max vent gas temperature,,228.07886307103826,12,30
std,max gas temperature,,,12,31
std,max over pressure,bar,,12,32
std,first venting n,mol,,12,33
std,second venting n,,,12,34
std,temperature of produced not condensated gas,°C,,12,37
std,max rate 50per pressure corrected,mol/s,,12,39
std,max rate 90per pressure corrected,,,12,40
std,min_time_50per_pressure,s,,12,41
std,min_time_90per_pressure,,,12,42
std,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),7.229227326223584,12,43
std,Max_Rate_90per_Pressure_Corrected_SATP,,,12,44
std,post_thermal_runaway_amount_of_gas,mol,,12,79
relative std,experiment designation,,relative std,13,0
relative std,cell_type_id,,,13,5
relative std,soc,%,,13,14
relative std,voltage_before_TR,V,,13,20
relative std,CellVoltageDropFiftyPer_CellCaseT,°C,0.029041011344708458,13,21
relative std,FiveSecBefNinetyPerSecVentStart CellCaseT,,,13,22
relative std,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,,13,23
relative std,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,13,24
relative std,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,,13,25
relative std,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,,13,26
relative std,NinetyPerSecVentStart_CellCaseT,,0.11740979334878383,13,27
relative std,max_cell_temperature,,0.2969449952785705,13,28
relative std,max_cell_temperature_sensor_name,,,13,29
relative std,max vent gas temperature,,0.17881187094425322,13,30
relative std,max gas temperature,,,13,31
relative std,max over pressure,bar,,13,32
relative std,first venting n,mol,,13,33
relative std,second venting n,,,13,34
relative std,temperature of produced not condensated gas,°C,,13,37
relative std,max rate 50per pressure corrected,mol/s,,13,39
relative std,max rate 90per pressure corrected,,,13,40
relative std,min_time_50per_pressure,s,,13,41
relative std,min_time_90per_pressure,,,13,42
relative std,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),0.44716726367062587,13,43
relative std,Max_Rate_90per_Pressure_Corrected_SATP,,,13,44
relative std,post_thermal_runaway_amount_of_gas,mol,,13,79
