heldout,method,model,representation,pair_count,mae_s,rmse_s,medae_s,r2,bias_s,aug_mean
TS0330C,classical_anchor_matched,rf,pressure_shape,3,102.72264271033754,118.70868771249418,92.82555427488997,-0.5641969665932881,-60.97384220433657,39.666666666666664
TS0330C,classical_anchor_matched,rf,temperature,3,74.95169754489359,76.31835431221681,77.9613796493603,0.33097585200989776,-74.95169754489359,39.666666666666664
TS0330C,racdiff,huber,fusion_absolute,3,117.65011820042729,118.77206325220675,115.84411263029455,-1.2975873346985731,-90.87828664584892,39.666666666666664
TS0330C,racdiff,huber,fusion_shape,3,76.69764356493138,79.56360611812671,81.41347466639864,0.3010972908806824,-75.54256159500956,39.666666666666664
TS0330C,racdiff,huber,pressure_absolute,3,140.65106935077546,159.31469469457616,155.67167172195047,-2.0713772443403293,-59.93739871641612,39.666666666666664
TS0330C,racdiff,huber,pressure_shape,3,98.02764847438986,112.47198727011731,93.39796970953175,-0.39585552807672797,-80.60760470337014,39.666666666666664
TS0330C,racdiff,huber,temperature,3,74.9898790687585,76.38729245108335,75.24659443032094,0.3330274949344402,-74.9898790687585,39.666666666666664
TS0330C,racdiff,rf,fusion_absolute,3,74.35740841525606,75.69359474422554,77.35370190409454,0.3272997003380668,-74.35740841525606,39.666666666666664
TS0330C,racdiff,rf,fusion_shape,3,76.33827302816677,77.96361753217685,77.56768926526799,0.3067348410032581,-76.33827302816677,39.666666666666664
TS0330C,racdiff,rf,pressure_absolute,3,85.18867032476014,109.17278127330219,59.0630521545084,-0.42532971439265504,-45.313702071992545,39.666666666666664
TS0330C,racdiff,rf,pressure_shape,3,103.55481361449142,115.81772154949635,109.26788047102978,-0.5150995556832156,-63.75727175776311,39.666666666666664
TS0330C,racdiff,rf,temperature,3,74.63377433578813,76.14499483771024,78.40563577260268,0.32989021084555753,-74.63377433578813,39.666666666666664
TS0330C,real_only,huber,fusion_absolute,3,118.14466342734464,119.04021059403549,117.41312613831803,-1.216971429375123,-88.60171974638207,0.0
TS0330C,real_only,huber,fusion_shape,3,83.72424414671934,88.61808424394424,85.66159561505212,0.13107411478465178,-78.21649758896676,0.0
TS0330C,real_only,huber,pressure_absolute,3,60.406850460829425,73.11300834504013,51.4650859392799,0.22443403675486154,-13.146989345901396,0.0
TS0330C,real_only,huber,pressure_shape,3,101.96860154222942,122.03717104107615,93.71045879600416,-0.6433315249196793,-77.59928637765138,0.0
TS0330C,real_only,huber,temperature,3,77.13743263524725,77.87072308245142,76.62165171851136,0.3120475978990616,-77.13743263524725,0.0
TS0330C,real_only,rf,fusion_absolute,3,78.32299506448223,79.30069972976588,79.11656412831401,0.24588055302047787,-78.32299506448223,0.0
TS0330C,real_only,rf,fusion_shape,3,80.65434627867823,81.64038503943009,82.42803395445092,0.23013165495042273,-80.65434627867823,0.0
