heldout,train_experiments,method,model,representation,n_real_train_windows,n_aug,n_test_windows,mae_s,rmse_s,medae_s,r2,bias_s
TS0330B,TS0330E+TS0330F,real_only,huber,fusion_absolute,72,0,38,161.29276158856274,162.55918730038198,167.11010499036908,-1.197545993833625,-161.29276158856274
TS0330B,TS0330E+TS0330F,real_only,huber,fusion_shape,72,0,38,82.81358954388183,89.02231812689776,81.64618301364217,0.3409585459798945,-82.81358954388183
TS0330B,TS0330E+TS0330F,real_only,rf,temperature,72,0,38,71.0095771765583,71.99467353922584,74.42013018296188,0.5689618916082044,-71.0095771765583
TS0330B,TS0330E+TS0330F,real_only,rf,pressure_absolute,72,0,38,115.77156166008936,129.87304171047862,106.66366351648892,-0.4026617654162936,-40.68164956077012
TS0330B,TS0330E+TS0330F,real_only,rf,pressure_shape,72,0,38,139.63746498120594,160.8960154756107,167.15337754232397,-1.152809062086122,-105.30504989672104
TS0330B,TS0330E+TS0330F,real_only,rf,fusion_absolute,72,0,38,70.7611962373473,72.20895866376411,71.69068786655866,0.5663921872681781,-70.7611962373473
TS0330B,TS0330E+TS0330F,real_only,rf,fusion_shape,72,0,38,71.06696858936108,72.19638547467119,74.74391124457455,0.5665431756906594,-71.06696858936108
TS0330B,TS0330E+TS0330F,classical_anchor_matched,huber,temperature,72,72,38,70.73696157861556,72.56102600291905,75.24113919893958,0.5621536188186314,-70.73696157861556
TS0330B,TS0330E+TS0330F,classical_anchor_matched,huber,pressure_absolute,72,72,38,250.9269392229617,292.240562813195,218.6562122307057,-6.102249516169637,-250.9269392229617
TS0330B,TS0330E+TS0330F,classical_anchor_matched,huber,pressure_shape,72,72,38,190.2562314912956,234.33892702717927,187.75632271457027,-3.5667139471226976,-140.32377491109065
TS0330B,TS0330E+TS0330F,classical_anchor_matched,huber,fusion_absolute,72,72,38,153.01191751505365,154.0927447846018,153.99382491413007,-0.9746008377205696,-153.01191751505365
TS0330B,TS0330E+TS0330F,classical_anchor_matched,huber,fusion_shape,72,72,38,83.86695718028434,89.09906615884867,76.82185736056512,0.3398217088644572,-83.86695718028434
TS0330B,TS0330E+TS0330F,classical_anchor_matched,rf,temperature,72,72,38,71.14165935628527,71.90609446605198,74.74122655046392,0.5700218996945069,-71.14165935628527
TS0330B,TS0330E+TS0330F,classical_anchor_matched,rf,pressure_absolute,72,72,38,118.62648764115514,140.18557190939055,105.48800833425832,-0.6342615770511189,84.91694655518991
TS0330B,TS0330E+TS0330F,classical_anchor_matched,rf,pressure_shape,72,72,38,135.31598084470082,165.6787461547559,136.34170847098818,-1.2826983928484648,-62.21274868503794
TS0330B,TS0330E+TS0330F,classical_anchor_matched,rf,fusion_absolute,72,72,38,72.69163758771587,73.07344452789951,74.13763142061009,0.5559477307550329,-72.69163758771587
TS0330B,TS0330E+TS0330F,classical_anchor_matched,rf,fusion_shape,72,72,38,70.62916530987002,71.36517437021895,73.86453569090861,0.5764666657642405,-70.62916530987002
TS0330B,TS0330E+TS0330F,racdiff,huber,temperature,72,72,38,69.36054886557277,71.58315015340473,71.60869952947394,0.5738754579132468,-69.36054886557277
TS0330B,TS0330E+TS0330F,racdiff,huber,pressure_absolute,72,72,38,120.57313379059038,138.42770989285768,116.58528149640632,-0.5935327847331231,-0.5744215045712772
TS0330B,TS0330E+TS0330F,racdiff,huber,pressure_shape,72,72,38,177.2939933083884,210.8911849484345,180.72464060846124,-2.6985525080040875,-124.43195083081773
TS0330B,TS0330E+TS0330F,racdiff,huber,fusion_absolute,72,72,38,133.21135403979915,134.83341759690717,136.02839625101117,-0.511854580165638,-133.21135403979915
TS0330B,TS0330E+TS0330F,racdiff,huber,fusion_shape,72,72,38,86.59091479251492,93.34801755905352,88.53834985763831,0.2753552783420583,-86.59091479251492
TS0330B,TS0330E+TS0330F,racdiff,rf,temperature,72,72,38,70.60539889883059,71.50391602872479,74.53127742202992,0.5748182752901148,-70.60539889883059
TS0330B,TS0330E+TS0330F,racdiff,rf,pressure_absolute,72,72,38,101.56198749043028,127.45129070128394,80.57602798715743,-0.3508384398437811,-51.44749315933607
TS0330B,TS0330E+TS0330F,racdiff,rf,pressure_shape,72,72,38,135.49938152559548,150.74413420020002,143.73405832338813,-0.8897126842201732,-105.8930357285734
TS0330B,TS0330E+TS0330F,racdiff,rf,fusion_absolute,72,72,38,74.39980622859342,74.74653863672417,75.76760039093858,0.5353808489063054,-74.39980622859342
TS0330B,TS0330E+TS0330F,racdiff,rf,fusion_shape,72,72,38,70.36549746400479,71.42235535283973,74.81984649189229,0.5757876860032134,-70.36549746400479
TS0330B,TS0330G+TS0330H,real_only,huber,temperature,64,0,38,93.15425232111411,93.8581289092629,91.77164879542376,0.2674138243313049,-93.15425232111411
TS0330B,TS0330G+TS0330H,real_only,huber,pressure_absolute,64,0,38,1325.8224028952557,1329.102190597957,1297.2268163245474,-145.90334413944217,1325.8224028952557
TS0330B,TS0330G+TS0330H,real_only,huber,pressure_shape,64,0,38,90.87264680062384,114.0644184324433,84.86190650035971,-0.0819702405987357,-66.86341004590268
TS0330B,TS0330G+TS0330H,real_only,huber,fusion_absolute,64,0,38,1082.0906574534115,1082.1585751628768,1082.597163110368,-96.38604864710678,1082.0906574534115
TS0330B,TS0330G+TS0330H,real_only,huber,fusion_shape,64,0,38,53.07440438641908,59.92484786547676,47.81482239320239,0.7013731763175186,-53.07440438641908
TS0330B,TS0330G+TS0330H,real_only,rf,temperature,64,0,38,90.31292467210709,92.4686445906534,95.5919457157107,0.2889438153228104,-90.31292467210709
TS0330B,TS0330G+TS0330H,real_only,rf,pressure_absolute,64,0,38,135.11075600710706,176.41311747338406,104.66866073267823,-1.5880739650757223,-124.49828568868418
TS0330B,TS0330G+TS0330H,real_only,rf,pressure_shape,64,0,38,100.1036875953939,119.66693612064118,100.58180678912916,-0.1908670478868093,-76.61894568167679
TS0330B,TS0330G+TS0330H,real_only,rf,fusion_absolute,64,0,38,67.59100120923628,77.48224404826576,66.73609886905766,0.5007485725240566,-59.94574826088298
TS0330B,TS0330G+TS0330H,real_only,rf,fusion_shape,64,0,38,75.29405078605164,81.7398085375075,78.61256387162058,0.4443745028542457,-72.52775399311922
TS0330B,TS0330G+TS0330H,classical_anchor_matched,huber,temperature,64,64,38,59.44902521380393,65.04131643629015,71.884144710725,0.6482018265377115,-56.93013520951337
TS0330B,TS0330G+TS0330H,classical_anchor_matched,huber,pressure_absolute,64,64,38,485.39109248058486,509.6266082432818,450.22133814674737,-20.598277889767772,-485.39109248058486
TS0330B,TS0330G+TS0330H,classical_anchor_matched,huber,pressure_shape,64,64,38,93.05055403866866,126.78958295846256,48.94035817541808,-0.3368481560780865,-59.66235624725902
TS0330B,TS0330G+TS0330H,classical_anchor_matched,huber,fusion_absolute,64,64,38,906.6153345629632,906.8373942509724,900.7169673873423,-67.38703509008958,906.6153345629632
TS0330B,TS0330G+TS0330H,classical_anchor_matched,huber,fusion_shape,64,64,38,52.05694417657169,59.78069289587301,45.36699994405413,0.7028081991344437,-45.09726366343274
TS0330B,TS0330G+TS0330H,classical_anchor_matched,rf,temperature,64,64,38,89.30575706833542,92.55388144257358,95.6852230980881,0.287632319408498,-89.30575706833542
TS0330B,TS0330G+TS0330H,classical_anchor_matched,rf,pressure_absolute,64,64,38,121.08254706454876,147.76831171671984,95.8665512148375,-0.8158399117877031,96.96277716436262
