heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330C,TS0330D+TS0330E,real_only,fusion_absolute,71,0,0,0,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,TS0330D+TS0330E,real_only,fusion_shape,71,0,0,0,33,3,0.9222222222222224,0.4666666666666667,0.3157894736842105,0.7833333333333333
TS0330C,TS0330D+TS0330E,classical_classmatched,temperature,71,71,35,36,33,3,1.0,1.0,0.4,0.85
TS0330C,TS0330D+TS0330E,classical_classmatched,pressure_absolute,71,71,35,36,33,3,0.7333333333333334,0.375,0.0,0.5
TS0330C,TS0330D+TS0330E,classical_classmatched,pressure_shape,71,71,35,36,33,3,0.8222222222222222,0.2896825396825396,0.25,0.7
TS0330C,TS0330D+TS0330E,classical_classmatched,fusion_absolute,71,71,35,36,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,TS0330D+TS0330E,classical_classmatched,fusion_shape,71,71,35,36,33,3,0.9333333333333332,0.4777777777777778,0.3333333333333333,0.8
TS0330C,TS0330D+TS0330E,racdiff,temperature,71,71,35,36,33,3,1.0,1.0,0.4,0.85
TS0330C,TS0330D+TS0330E,racdiff,pressure_absolute,71,71,35,36,33,3,0.4333333333333333,0.1036363636363636,0.0,0.5
TS0330C,TS0330D+TS0330E,racdiff,pressure_shape,71,71,35,36,33,3,0.5333333333333333,0.1195187165775401,0.1052631578947368,0.4166666666666666
TS0330C,TS0330D+TS0330E,racdiff,fusion_absolute,71,71,35,36,33,3,1.0,1.0,0.8571428571428571,0.9833333333333334
TS0330C,TS0330D+TS0330E,racdiff,fusion_shape,71,71,35,36,33,3,0.9444444444444444,0.5333333333333333,0.3333333333333333,0.8
TS0330C,TS0330F+TS0330G,real_only,temperature,64,0,0,0,33,3,1.0,1.0,0.3333333333333333,0.8
TS0330C,TS0330F+TS0330G,real_only,pressure_absolute,64,0,0,0,33,3,1.0,1.0,0.25,0.7
TS0330C,TS0330F+TS0330G,real_only,pressure_shape,64,0,0,0,33,3,0.6555555555555556,0.1555555555555555,0.2307692307692307,0.6666666666666666
TS0330C,TS0330F+TS0330G,real_only,fusion_absolute,64,0,0,0,33,3,1.0,1.0,0.24,0.6833333333333333
TS0330C,TS0330F+TS0330G,real_only,fusion_shape,64,0,0,0,33,3,0.9333333333333332,0.4777777777777778,0.375,0.8333333333333333
TS0330C,TS0330F+TS0330G,classical_classmatched,temperature,64,64,32,32,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,TS0330F+TS0330G,classical_classmatched,pressure_absolute,64,64,32,32,33,3,0.5222222222222223,0.1185807656395891,0.1666666666666666,0.5
